,max_attempts,max_iters,accuracy_train,accuracy_test,train_time
0,1.0,400.0,0.5196450827942312,0.5247933884297521,1.457298000000037
1,1.0,800.0,0.5196450827942312,0.5247933884297521,1.3727799579999669
2,1.0,1200.0,0.5196450827942312,0.5247933884297521,1.3781834579999668
3,1.0,1600.0,0.5196450827942312,0.5247933884297521,1.3706042079999747
4,1.0,2000.0,0.5196450827942312,0.5247933884297521,1.3696000840000124
5,5.0,400.0,0.6477304291055849,0.640495867768595,3.2573983339999586
6,5.0,800.0,0.6942156804558134,0.7107438016528925,6.495298208000008
7,5.0,1200.0,0.7575844263754525,0.7617079889807162,9.527335249999965
8,5.0,1600.0,0.7923479138227789,0.7892561983471075,12.430790624999986
9,5.0,2000.0,0.8102569885453142,0.7947658402203857,15.445627666000007
10,10.0,400.0,0.6546275743367558,0.640495867768595,3.2836145830000305
11,10.0,800.0,0.691456466259125,0.6983471074380165,6.355262666000044
12,10.0,1200.0,0.747589174431717,0.7396694214876033,9.351558000000068
13,10.0,1600.0,0.7906255564128435,0.7548209366391184,12.455930250000051
14,10.0,2000.0,0.8202409638554217,0.7920110192837465,16.01862887499999
15,20.0,400.0,0.6529028428986884,0.6473829201101928,3.7719947909999973
16,20.0,800.0,0.6942156804558134,0.7107438016528925,7.30371070800004
17,20.0,1200.0,0.7575844263754525,0.7617079889807162,9.820862250000005
18,20.0,1600.0,0.7923479138227789,0.7892561983471075,14.776736916000004
19,20.0,2000.0,0.8102569885453142,0.7947658402203857,17.113713500000017
